Cluster_ID,Best_Match,Similarity_Pct,Status,Total_Reads,Pct_of_Sample,Num_ASVs
Cluster_1006,Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Zygorhizidiales;Zygorhizidiaceae;Zygorhizidium;Zygorhizidium_sp.;,79.92,Low confidence / possible divergent,249,0.16,27
Cluster_697,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas_sp.;,72.96,Low confidence / possible divergent,248,0.16,44
Cluster_297,Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Labyrinthulomycetes;Thraustochytriaceae;Thraustochytriaceae_LAB17;Thraustochytriaceae_LAB17_sp.;,71.94,Low confidence / possible divergent,245,0.16,34
Cluster_873,Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Cryptogregarinorida;Cryptosporidiidae;Cryptosporidium;Cryptosporidium_sp.;,75.41,Low confidence / possible divergent,244,0.16,14
Cluster_810,Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Bacillariophyceae:plas;Bacillariophyceae_X:plas;Bacillariophyceae_XX:plas;Bacillariophyceae_XXX:plas;Bacillariophyceae_XXX_sp.:plas;,67.21,Low confidence / possible divergent,243,0.15,16
Cluster_836,Eukaryota;TSAR;Alveolata;Apicomplexa;Coccidiomorphea;Piroplasmorida;Theileriidae;Theileria;Theileria_sp.;,68.78,Low confidence / possible divergent,242,0.15,21
Cluster_791,Eukaryota;Obazoa;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Catenulida;Stenostomum;Stenostomum_sphagnetorum;,66.93,Low confidence / possible divergent,241,0.15,21
Cluster_243,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes;Ophiostomataceae;Ophiostomataceae_sp.;,71.16,Low confidence / possible divergent,238,0.15,18
Cluster_877,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Chelicerata;Arachnida;Glossilus;Glossilus_sp.;,75.04,Low confidence / possible divergent,237,0.15,33
Cluster_857,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes;Graphium;Graphium_sp.;,75.07,Low confidence / possible divergent,234,0.15,23
Cluster_239,Eukaryota;TSAR;Rhizaria;Foraminifera;Globothalamea;Rotaliida;Globigerinidae;Globigerinoides;Globigerinoides_ruber-ruber;,73.59,Low confidence / possible divergent,234,0.15,45
Cluster_914,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2;Operculariidae;OLIGO1;OLIGO1_sp.;,74.17,Low confidence / possible divergent,233,0.15,23
